airline_sentiment,text,aspects
1,virginamerica dhepburn said,"['comfort', 'staff', 'Cleanliness']"
1,virginamerica today must mean need take another trip,"['staff', 'Punctuality', 'Price']"
0,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse,"['staff', 'Entertainment', 'Punctuality']"
0,virginamerica really big bad thing,"['staff', 'Cleanliness', 'comfort']"
0,virginamerica seriously would pay flight seat playing really bad thing flying va,"['Seat', 'staff', 'Price']"
2,virginamerica yes nearly every time fly vx ear worm go away,"['staff', 'Price', 'comfort']"
1,virginamerica really missed prime opportunity men without hat parody http co mwpg grezp,"['staff', 'Price', 'Cleanliness']"
2,virginamerica well,"['staff', 'comfort', 'Food']"
2,virginamerica amazing arrived hour early good,"['staff', 'Food', 'Entertainment']"
1,virginamerica know suicide second leading cause death among teen,"['comfort', 'Punctuality', 'Price']"
2,virginamerica lt pretty graphic much better minimal iconography,"['Price', 'Punctuality', 'Safety']"
2,virginamerica great deal already thinking nd trip australia amp even gone st trip yet p,"['Punctuality', 'comfort', 'Cleanliness']"
2,virginamerica virginmedia flying fabulous seductive sky u take stress away travel http co ahlxhhkiyn,"['staff', 'Service', 'Safety']"
2,virginamerica thanks,"['staff', 'Service', 'comfort']"
0,virginamerica sfo pdx schedule still mia,"['staff', 'Punctuality', 'Service']"
2,virginamerica excited first cross country flight lax mco heard nothing great thing virgin america daystogo,"['staff', 'Price', 'Punctuality']"
0,virginamerica flew nyc sfo last week fully sit seat due two large gentleman either side help,"['Seat', 'comfort', 'staff']"
2,flying virginamerica,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica know would amazingly awesome bos fll please want fly,"['staff', 'Price', 'Cleanliness']"
0,virginamerica first fare may three time carrier seat available select,"['Seat', 'Boarding', 'staff']"
2,virginamerica love graphic http co ut grrwaaa,"['staff', 'comfort', 'Entertainment']"
2,virginamerica love hipster innovation feel good brand,"['comfort', 'staff', 'Service']"
1,virginamerica making bos gt la non stop permanently anytime soon,"['staff', 'Price', 'comfort']"
0,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet,"['staff', 'Punctuality', 'Price']"
0,virginamerica status match program applied three week called emailed response,"['comfort', 'Cleanliness', 'Punctuality']"
0,virginamerica happened ur vegan food option least say ur site know able eat anything next hr fail,"['staff', 'Punctuality', 'Price']"
1,virginamerica miss worry together soon,"['staff', 'comfort', 'Punctuality']"
0,virginamerica amazing get cold air vent vx noair worstflightever roasted sfotobos,"['staff', 'Service', 'comfort']"
1,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,"['staff', 'comfort', 'Safety']"
0,virginamerica hi bked cool birthday trip add elevate cause entered middle name flight booking problem,"['staff', 'Punctuality', 'Boarding']"
1,virginamerica hour operation club sfo posted online current,"['comfort', 'Cleanliness', 'Safety']"
0,virginamerica help left expensive headphone flight iad lax today seat one answering l amp f number lax,"['Price', 'staff', 'Punctuality']"
0,virginamerica awaiting return phone call would prefer use online self service option,"['Service', 'Punctuality', 'Price']"
2,virginamerica great news america could start flight hawaii end year http co r p zy fe via pacificbiznews,"['staff', 'Cleanliness', 'comfort']"
1,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co unxtqp,"['staff', 'comfort', 'Entertainment']"
2,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday,"['comfort', 'staff', 'Service']"
2,virginamerica freddieawards done done best airline around hand,"['staff', 'Boarding', 'Baggage']"
1,virginamerica book flight hawaii,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica chat support working site http co vhp gtdwpk,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica view downtown los angeles hollywood sign beyond rain mountain http co dw nf ibtr,"['staff', 'comfort', 'Cleanliness']"
