airline_sentiment,text
1,virginamerica dhepburn said
1,virginamerica today must mean need take another trip
0,virginamerica really aggressive blast obnoxious entertainment guest face amp little recourse
0,virginamerica really big bad thing
0,virginamerica seriously would pay flight seat playing really bad thing flying va
2,virginamerica yes nearly every time fly vx ear worm go away
1,virginamerica really missed prime opportunity men without hat parody http co mwpg grezp
2,virginamerica well
2,virginamerica amazing arrived hour early good
1,virginamerica know suicide second leading cause death among teen
2,virginamerica lt pretty graphic much better minimal iconography
2,virginamerica great deal already thinking nd trip australia amp even gone st trip yet p
2,virginamerica virginmedia flying fabulous seductive sky u take stress away travel http co ahlxhhkiyn
2,virginamerica thanks
0,virginamerica sfo pdx schedule still mia
2,virginamerica excited first cross country flight lax mco heard nothing great thing virgin america daystogo
0,virginamerica flew nyc sfo last week fully sit seat due two large gentleman either side help
2,flying virginamerica
2,virginamerica know would amazingly awesome bos fll please want fly
0,virginamerica first fare may three time carrier seat available select
2,virginamerica love graphic http co ut grrwaaa
2,virginamerica love hipster innovation feel good brand
1,virginamerica making bos gt la non stop permanently anytime soon
0,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet
0,virginamerica status match program applied three week called emailed response
0,virginamerica happened ur vegan food option least say ur site know able eat anything next hr fail
1,virginamerica miss worry together soon
0,virginamerica amazing get cold air vent vx noair worstflightever roasted sfotobos
1,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix
0,virginamerica hi bked cool birthday trip add elevate cause entered middle name flight booking problem
1,virginamerica hour operation club sfo posted online current
0,virginamerica help left expensive headphone flight iad lax today seat one answering l amp f number lax
0,virginamerica awaiting return phone call would prefer use online self service option
2,virginamerica great news america could start flight hawaii end year http co r p zy fe via pacificbiznews
1,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co unxtqp
2,virginamerica moodlighting way fly best experience ever cool calming moodlitmonday
2,virginamerica freddieawards done done best airline around hand
1,virginamerica book flight hawaii
0,virginamerica chat support working site http co vhp gtdwpk
2,virginamerica view downtown los angeles hollywood sign beyond rain mountain http co dw nf ibtr
0,virginamerica hey first time flyer next week excited hard time getting flight added elevate account help
1,virginamerica plz help win bid upgrade flight lax gt sea
1,virginamerica unused ticket moved new city fly fly expires travelhelp
1,virginamerica flight leaving dallas seattle time feb
2,virginamerica elevategold good reason rock
1,virginamerica dream http co oa drfaoq http co lwwdac khx
2,virginamerica wow blew mind
1,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree
1,virginamerica ladygaga carrieunderwood entertaining
1,virginamerica flight way supposed take minute ago website still show time flight thanks
2,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood
1,virginamerica wish flew atlanta soon
1,virginamerica ladygaga carrieunderwood julie andrew hand
1,virginamerica flight leaving dallas la february th
0,virginamerica hi excited lga gt dal deal trying book since last week amp page never load thx
2,virginamerica know need spotify stat guiltypleasures
2,virginamerica ladygaga carrieunderwood lady gaga amazing
1,virginamerica ladygaga carrieunderwood carrie
1,virginamerica new marketing song http co f lfulcbq let u know think
1,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wow last night carrie meh
0,virginamerica called week ago adding flight elevate still shown help
1,virginamerica ladygaga carrieunderwood great go carrieunderwood
1,virginamerica ladygaga carrieunderwood sorry mary martin first
2,virginamerica ladygaga carrieunderwood love three really beat classic
1,virginamerica flight dal dca pm tried check could status please
0,virginamerica heyyyy guyyyys trying get hour someone call please
0,virginamerica hi virgin hold minute earlier flight la nyc tonight earlier pm
2,virginamerica congrats winning travelzoo award best deal airline u http co kj iljaebv
0,virginamerica everything fine lost bag
1,virginamerica need change reservation virgin credit card need modify phone waive change fee online
1,virginamerica emailed customer service team let know need tracking number
1,virginamerica hi booked flight need add baggage
0,virginamerica airline awesome lax loft need step game dirty table floor http co hy vrfhjht
2,virginamerica worried great ride new plane great crew airline like
2,virginamerica awesome flew yall sat morning way correct bill
1,virginamerica watch best student film country foot cmfat foot http co kek pdmgif
1,virginamerica first time flying different rate policy medium bag thanks
0,virginamerica going customer service anyway speak human asap thank
1,virginamerica happened doom
0,virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness
2,virginamerica applied member inflight crew team im interested flightattendant dreampath g
0,virginamerica best whenever begrudgingly use airline delayed late flight
0,virginamerica interesting flying cancelled flight next four flight planned neverflyvirginforbusiness
0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin
0,virginamerica trouble adding flight wife booked elevate account help http co px hqoks r
1,virginamerica bring reservation online using flight booking problem code
1,virginamerica random q distribution elevate avatar bet kitty disproportionate share http co aptzpurop
1,virginamerica lt flying va life happens trying change trip jperhi help va home page let
0,virginamerica site back
1,virginamerica rnp yeah know
1,virginamerica hi get point elevate account recent flight add flight point account
0,virginamerica like tv interesting video disappointed cancelled flightled flight flight went jfk saturday
0,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin
1,virginamerica flight redirected
0,virginamerica website btw new website great user experience time another redesign
0,virginamerica check add bag website working tried desktop mobile http co avyqdmpi
0,virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable
0,virginamerica phone number find call flight reservation
0,virginamerica anyone anything today website useless one answering phone
1,virginamerica trying add boy prince ressie sf thursday virginamerica lax http co gsb j c gm
0,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfo lax
1,virginamerica check new music http co marcnocwzn
0,virginamerica direct flight fll gt sfo unexpected layover vega fuel yet peep next bought vega flight sneaky
0,virginamerica late flight bag check lost business missed flight apt three people flight exp
2,virginamerica amazing customer service raeann sf best customerservice virginamerica flying
0,virginamerica called service line hung awesome sarcasm
0,virginamerica site tripping trying check getting plain text version reluctant enter card info
1,virginamerica scheduled sfo dal flight today changed th due weather look like flight still
2,virginamerica getaway deal may one way lot cool city http co tzzjhuibch cheapflights farecompare
1,virginamerica getaway deal may one way lot cool city http co rpdbpx wnd cheapflights farecompare
2,virginamerica getaway deal may one way lot cool city http co b xi yg cheapflights farecompare
1,virginamerica getaway deal may one way lot cool city http co qdljhsloi cheapflights farecompare
2,virginamerica great week
0,virginamerica concerned fly plane need delayed due tech stop
2,virginamerica best airline flown easy change reservation helpful representative amp comfortable flying experience
2,virginamerica another rep kicked butt naelah represents team beautifully thank
2,virginamerica beautiful front end design right cool still book ticket b c back end secure
2,virginamerica love team running gate e la tonight waited delayed flight kept thing entertaining
0,virginamerica use another browser amp brand reputation built tech response cross browser compatible website
0,virginamerica flight flight booking problem site totally folk problem
0,virginamerica like customer service min delay connecting passenger seems long va
2,virginamerica thanks outstanding nyc jfk crew moved mountain get home san francisco tonight
2,virginamerica absolute best team customer service ever every time fly delighted thank
1,virginamerica provide complimentary upgrade first class available seat
0,virginamerica need change flight thats scheduled hour min wait time phone im calling intern help
2,virginamerica completely awesome experience last month bos la nonstop thanks awesome flight depart time vabeatsjblue
1,virginamerica watch oscar jfk gt sfo flight
1,virginamerica flight cancelled flightled
0,virginamerica failing customer check process link tsa pre check
0,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry
1,virginamerica flight number sfo cabo san lucas arrived yet
0,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give u hotel hotline shame
0,virginamerica another delayed flight likingyoulessandless
0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
2,virginamerica rock making watch oscar flight redcarpet oscar oscar
1,virginamerica reallytallchris dropped track http co zv pt trk
2,virginamerica always xoxo
0,virginamerica book seat flight buy even check creates much anxiety frustrated
0,virginamerica think paying extra buck rt luggage might afford hiring extra hand sfo lame
2,virginamerica best customer service rep world irmafromdallas take cake
0,virginamerica please provide status flight cant imagine time web indicates dude weather dallas
2,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort
0,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
0,virginamerica question possible book seat infant giving option want seat
2,always together welcome rt virginamerica jessicajaymes welcome
2,virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx vbctdlf
0,virginamerica understand need dm give answer damaged luggage policy
0,virginamerica mean policy destroyed luggage
1,virginamerica special assistance travel alone w kid infant priority boarding
2,virginamerica thank checking ticket purchased customer happy
1,virginamerica website ever coming back online
1,virginamerica flight love field sfo definitely cancelled flightled monday february
1,virginamerica flight lga dfw time
1,virginamerica driver license expired little month fly friday morning using expired license
0,virginamerica problem flight booking problem web site keep giving error contact phone phone minute wait
0,virginamerica reschedule cancelled flightled flight online change button greyed
0,virginamerica rang wait minute book ticket vendor fix site
0,virginamerica got flight told today checked email tomorrow unacceptable
0,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today
0,virginamerica pairing include red wine white offered redwineisbetter
0,virginamerica website
0,virginamerica site seems little wonked right may want look tried two browser cs http co qsqmm kf
0,virginamerica disappointed agent designated silver status check line dulles airport closed assist pasengers
1,virginamerica plan include austin dallas route topnews arab emirate http co aqzwecokk
0,virginamerica normal receive reply central baggage baggageissues smh
0,virginamerica logan airport waiting checkin flight checkin desk open
1,virginamerica jump dallas austin market dallas news http co ewwgi gdx
1,virginamerica beat eps view take southwestair va luv investor business daily http co flwmgdahxu
1,virginamerica lister show monday
1,virginamerica begin dallas austin flight april ketr http co ssuvwwkyhh
0,virginamerica congrats got business ewr sfo lax fuck united fl sfo ewr clincher
0,virginamerica applied week ago heard back flying week disappointed
1,virginamerica love know policy damaged luggage
2,virginamerica thank follow
0,virginamerica many apology r worse airline even respond cudtomers
0,virginamerica shame va making people spend money stranded city airline landing jfk reimburse
1,virginamerica ttinac dm
1,virginamerica please flight sjc choice fly southwest vega
0,virginamerica bad say take day via confirmation email inquired week claim week
0,virginamerica flight bos gt la tomorrow cancelled flightled notification wait time hour rebook another airline
